name,cost,champName,skinType,skinLine,date
"Atlantean Syndra",975,syndra,,"atlantean","April 30, 2014"
"Void Fizz",1350,fizz,,"void","April 7, 2014"
"Super Galaxy Rumble",1820,rumble,Legendary,"super-galaxy","April 3, 2014"
"Arctic Ops Varus",1350,varus,,"arctic-ops","March 20, 2014"
"Battlecast Vel'Koz",1350,velkoz,,"battlecast","February 27, 2014"
"Heartseeker Ashe",975,ashe,,"heartseeker","February 14, 2014"
"Scorched Earth Renekton",975,renekton,,"scorched-earth","February 10, 2014"
"Lunar Goddess Diana",975,diana,Special Events,"lunar-goddess","January 28, 2014"
"Dragonblade Riven",975,riven,Special Events,"dragonblade","January 28, 2014"
"Warring Kingdoms Tryndamere",975,tryndamere,Special Events,"warring-kingdoms","January 28, 2014"
"Winter Wonder Lulu",1350,lulu,Special Events,"winter-wonder","December 19, 2013"
"Snow Day Singed",975,singed,Special Events,"snow-day","December 19, 2013"
"Snowstorm Sivir",975,sivir,Special Events,"snowstorm","December 19, 2013"
"High Noon Yasuo",975,yasuo,,"high-noon","December 13, 2013"
"Popstar Ahri",975,ahri,,"popstar","November 25, 2013"
"Infernal Nasus",1820,nasus,Legendary,"infernal","November 21, 2013"
"Sultan Gangplank",975,gangplank,,"sultan","November 13, 2013"
"Victorious Elise",,elise,Special Events,"victorious","November 12, 2013"
"Officer Vi",975,vi,,"officer","October 30, 2013"
"Haunted Zyra",1350,zyra,Special Events,"haunted","October 30, 2013"
"Crime City Jinx",975,jinx,,"crime-city","October 10, 2013"
"Championship Thresh",975,thresh,Special Events,"championship","October 4, 2013"
"Creator Viktor",1350,viktor,,"creator","October 1, 2013"
"Pool Party Graves",1350,graves,,"pool-party","September 10, 2013"
"Pool Party Lee Sin",1350,lee-sin,,"pool-party","September 10, 2013"
"Pool Party Leona",1350,leona,,"pool-party","September 10, 2013"
"Pool Party Renekton",1350,renekton,,"pool-party","September 10, 2013"
"Forecast Janna",1820,janna,Legendary,"forecast","September 5, 2013"
"Riot Blitzcrank",975,blitzcrank,Special Events,"riot","August 22, 2013"
"Arcade Hecarim",1350,hecarim,,"arcade","August 22, 2013"
"Hired Gun Lucian",975,lucian,,"hired-gun","August 22, 2013"
"Bear Cavalry Sejuani",1350,sejuani,,"bear-cavalry","August 1, 2013"
"Spirit Guard Udyr",3250,udyr,Ultimate,"spirit-guard","July 17, 2013"
"Woad King Darius",975,darius,,"woad-king","June 18, 2013"
"Ghost Bride Morgana",975,morgana,,"ghost-bride","June 15, 2013"
"Justicar Aatrox",975,aatrox,,"justicar","June 13, 2013"
"TPA Dr. Mundo",750,dr-mundo,Special Events,"tpa","May 24, 2013"
"TPA Ezreal",750,ezreal,Special Events,"tpa","May 24, 2013"
"TPA Nunu & Willump",750,nunu-amp-willump,Special Events,"tpa","May 24, 2013"
"TPA Orianna",750,orianna,Special Events,"tpa","May 24, 2013"
"TPA Shen",750,shen,Special Events,"tpa","May 24, 2013"
"Traditional Trundle",,trundle,Legacy,"traditional","April 30, 2013"
"Bloodstone Lissandra",975,lissandra,,"bloodstone","April 30, 2013"
"Blackfrost Anivia",1820,anivia,Legendary,"blackfrost","April 30, 2013"
"Ice Drake Shyvana",975,shyvana,,"ice-drake","April 30, 2013"
"Runeguard Volibear",975,volibear,,"runeguard","April 30, 2013"
"Traditional Sejuani",,sejuani,Legacy,"traditional","April 29, 2013"
"Special Weapon Zac",975,zac,,"special-weapon","March 29, 2013"
"Traditional Karma",,karma,Legacy,"traditional","March 29, 2013"
"Gladiator Draven",975,draven,,"gladiator","March 25, 2013"
"Headhunter Nidalee",975,nidalee,,"headhunter","March 20, 2013"
"Celestine Soraka",975,soraka,,"celestine","March 5, 2013"
"Phoenix Quinn",975,quinn,,"phoenix","March 1, 2013"
"iBlitzcrank",1350,blitzcrank,,"i","March 1, 2013"
"Debonair Jayce",975,jayce,,"debonair","February 12, 2013"
"Panda Annie",975,annie,Special Events,"panda","February 8, 2013"
"Jade Fang Cassiopeia",975,cassiopeia,Special Events,"jade-fang","February 8, 2013"
"Dragonwing Corki",975,corki,Special Events,"dragonwing","February 8, 2013"
"Warring Kingdoms Jarvan IV",1350,jarvan-iv,Special Events,"warring-kingdoms","February 8, 2013"
"Warring Kingdoms Xin Zhao",1350,xin-zhao,Special Events,"warring-kingdoms","February 8, 2013"
"Steel Legion Lux",975,lux,,"steel-legion","February 2, 2013"
"Steel Legion Garen",1350,garen,,"steel-legion","February 2, 2013"
"Deep Terror Thresh",975,thresh,,"deep-terror","January 23, 2013"
"Aether Wing Kayle",1820,kayle,Legendary,"aether-wing","January 17, 2013"
"Masked Shaco",975,shaco,,"masked","January 9, 2013"
"Neon Strike Vi",975,vi,,"neon-strike","December 20, 2012"
"Dark Candy Fiddlesticks",975,fiddlesticks,Special Events,"dark-candy","December 14, 2012"
"Slay Belle Katarina",975,katarina,Special Events,"slay-belle","December 14, 2012"
"Bad Santa Veigar",975,veigar,Special Events,"bad-santa","December 14, 2012"
"Snow Day Ziggs",975,ziggs,Special Events,"snow-day","December 14, 2012"
"Koi Nami",975,nami,,"koi","December 8, 2012"
"Arclight Varus",975,varus,,"arclight","December 5, 2012"
"Eternum Nocturne",1820,nocturne,Legendary,"eternum","December 5, 2012"
"Bioforge Darius",975,darius,,"bioforge","November 13, 2012"
"Dragon Trainer Lulu",1350,lulu,,"dragon-trainer","November 13, 2012"
"Shockblade Zed",975,zed,,"shockblade","November 13, 2012"
"Victorious Janna",,janna,Special Events,"victorious","November 12, 2012"
"Zombie Brand",1820,brand,Special Events,"zombie","October 26, 2012"
"Death Blossom Elise",975,elise,,"death-blossom","October 26, 2012"
"Headmistress Fiora",975,fiora,Special Events,"headmistress","October 26, 2012"
"Headless Hecarim",975,hecarim,Special Events,"headless","October 26, 2012"
"Haunted Maokai",975,maokai,Special Events,"haunted","October 26, 2012"
"Pirate Ryze",975,ryze,Special Events,"pirate","October 26, 2012"
"Underworld Twisted Fate",975,twisted-fate,Special Events,"underworld","October 26, 2012"
"Rocket Girl Tristana",975,tristana,,"rocket-girl","October 19, 2012"
"Championship Riven",975,riven,Special Events,"championship","October 14, 2012"
"Battlecast Prime Cho'Gath",1820,chogath,Legendary,"battlecast-prime","October 3, 2012"
"Pentakill Olaf",975,olaf,,"pentakill","October 1, 2012"
"Mecha Kha'Zix",1350,khazix,,"mecha","September 27, 2012"
"Sultan Tryndamere",975,tryndamere,,"sultan","September 27, 2012"
"Oktoberfest Gragas",975,gragas,,"oktoberfest","September 21, 2012"
"Nemesis Jax",975,jax,,"nemesis","September 14, 2012"
"Special Forces Gangplank",975,gangplank,,"special-forces","September 13, 2012"
"Justicar Syndra",975,syndra,,"justicar","September 13, 2012"
"AstroNautilus",1350,nautilus,,"astro","September 4, 2012"
"Pool Party Ziggs",1350,ziggs,,"pool-party","September 4, 2012"
"Arcade Sona",1350,sona,,"arcade","August 31, 2012"
"Headhunter Rengar",975,rengar,,"headhunter","August 21, 2012"
"Riot Graves",975,graves,Special Events,"riot","August 16, 2012"
"Riot K-9 Nasus",975,nasus,Special Events,"riot-k-9","August 16, 2012"
"Full Metal Rammus",975,rammus,,"full-metal","August 16, 2012"
"Dark Valkyrie Diana",975,diana,,"dark-valkyrie","August 7, 2012"
"Rageborn Mundo",975,dr-mundo,,"rageborn-mundo","July 27, 2012"
"Muay Thai Lee Sin",975,lee-sin,,"muay-thai","July 24, 2012"
"Wildfire Zyra",975,zyra,,"wildfire","July 24, 2012"
"Mythic Cassiopeia",975,cassiopeia,,"mythic","July 19, 2012"
"Infernal Alistar",975,alistar,,"infernal","July 13, 2012"
"Scorched Earth Xerath",1350,xerath,,"scorched-earth","July 13, 2012"
"Foxfire Ahri",975,ahri,,"foxfire","July 11, 2012"
"Glacial Malphite",1350,malphite,,"glacial","July 11, 2012"
"Augmented Singed",975,singed,,"augmented","July 9, 2012"
"Panda Teemo",975,teemo,,"panda","July 9, 2012"
"Full Metal Jayce",1350,jayce,,"full-metal","July 7, 2012"
"Pulsefire Ezreal",3250,ezreal,Ultimate,"pulsefire","June 29, 2012"
"Blast Zone Heimerdinger",520,heimerdinger,,"blast-zone","June 24, 2012"
"Soul Reaver Draven",1350,draven,,"soul-reaver","June 6, 2012"
"Glaive Warrior Pantheon",975,pantheon,,"glaive-warrior","May 30, 2012"
"Sad Robot Amumu",1350,amumu,,"sad-robot","May 28, 2012"
"Darkflame Shyvana",975,shyvana,,"darkflame","May 28, 2012"
